Provincia;"2011";
Albacete;"325507.0";
Alicante;"3431078.0";
Almería;"1112345.0";
Álava;"365972.0";
Asturias;"1451994.0";
Ávila;"284770.0";
Badajoz;"669167.0";
Islas Baleares;"8378476.0";
Barcelona;"1.0005106E7";
Bizkaia;"1119120.0";
Burgos;"723632.0";
Cáceres;"604352.0";
Cádiz;"2142300.0";
Cantabria;"1055790.0";
Castellón;"950660.0";
Ciudad Real;"365221.0";
Córdoba;"981133.0";
La Coruña;"1473462.0";
Cuenca;"310667.0";
Gipuzkoa;"931001.0";
Girona;"3305408.0";
Granada;"2292934.0";
Guadalajara;"236074.0";
Huelva;"1060980.0";
Huesca;"667018.0";
Jaén;"483665.0";
León;"697526.0";
Lleida;"802809.0";
Lugo;"529833.0";
Madrid;"1.0371527E7";
Málaga;"4361127.0";
Murcia;"1022374.0";
Navarra;"814826.0";
Ourense;"296192.0";
Palencia;"202605.0";
Las Palmas;"4582562.0";
Pontevedra;"1054581.0";
La Rioja;"534021.0";
Salamanca;"885893.0";
Santa Cruz de Tenerife;"3354147.0";
Segovia;"392813.0";
Sevilla;"2460022.0";
Soria;"192078.0";
Tarragona;"2392936.0";
Teruel;"335991.0";
Toledo;"673760.0";
Valencia;"2561759.0";
Valladolid;"606643.0";
Zamora;"230267.0";
Zaragoza;"1151296.0";
Ceuta;"80699.0";
Melilla;"50857.0";
